img_file,Model_Probabilities,Model_classification,Confidence_classification,BRISQUE,BRISQUE_classification,NIQE,NIQE_classification,ILNIQE,ILNIQE_classification,Laplacian,Laplacian_classification,Sobel,Sobel_classification,FFT,FFT_classification,Overall_classification
f650ce0a-928e-4cb3-a201-8187ffc300bc.png,"[0.08619513362646103, 0.9138048887252808]",sharp,Baixa confiança,15.54949951171875,good quality,2.8957720279762182,good quality,56.69570038382385,good quality,3568729.757563933,low quality,9.347697666320938,low quality,167.78758119957084,good quality,good quality
4169e29c-bdd8-483d-9f41-b326efa61595.png,"[0.17917500436306, 0.8208249807357788]",sharp,Baixa confiança,20.59832763671875,good quality,4.017476702296386,good quality,54.65977040061556,good quality,6610109.386942072,low quality,12.980516975308642,low quality,164.90135681188625,good quality,good quality
a2ed37fe-2234-477f-8d12-4cda006e5f89.png,"[0.5640659332275391, 0.43593406677246094]",blurred,Baixa confiança,31.88885498046875,good quality,4.921842081831881,good quality,63.052891548819225,good quality,4829633.531300944,low quality,10.200661463144929,low quality,162.57140937568508,good quality,good quality
c6d82094-8d48-4ff1-a3a9-0f288d3c9e66.png,"[0.019956139847636223, 0.980043888092041]",sharp,Boa confiança,-0.53253173828125,good quality,4.662575656516266,good quality,51.119414570608185,good quality,5075824.586095886,low quality,9.863267307308726,low quality,184.9790797725848,good quality,good quality
fe9cd23a-8222-409b-8f37-bbec20d04044.png,"[0.015515646897256374, 0.9844843745231628]",sharp,Boa confiança,4.66961669921875,good quality,3.188881239482645,good quality,43.17383752225351,good quality,4852078.483691943,low quality,9.057628177621355,low quality,179.03248419658223,good quality,good quality
857a2714-28a9-4516-8ecf-c411be995278.png,"[0.8397186398506165, 0.16028137505054474]",blurred,Baixa confiança,20.11932373046875,good quality,8.300555920089183,low quality,67.70326376539758,good quality,494548.7463325709,low quality,6.537182615137104,low quality,165.6883506568287,good quality,low quality
60d9b12b-28ba-4057-92a3-4f313ae729a8.png,"[0.9968950748443604, 0.003104963107034564]",blurred,Boa confiança,39.68182373046875,good quality,6.525117399704882,good quality,102.12296735761171,low quality,634949.2308492078,low quality,12.891637802124023,low quality,139.48966751767134,good quality,low quality
0828041f-acf1-4d1f-88a3-1f53152538a9.png,"[0.0006040978478267789, 0.9993958473205566]",sharp,Boa confiança,13.02508544921875,good quality,8.360589125247975,low quality,39.53143864747293,good quality,54453281.04839274,good quality,19.56987571716309,low quality,168.0996506680331,good quality,good quality
a42c1325-9536-4e6e-b91d-738fa0c6e790.png,"[0.0006177326431497931, 0.9993822574615479]",sharp,Boa confiança,25.27313232421875,good quality,4.799534364356067,good quality,49.78158083099657,good quality,11331311.000477709,low quality,8.26755142211914,low quality,154.43946841482045,good quality,good quality
1c2fe24c-6c92-4396-bfaf-374eefae8775.png,"[0.5375363230705261, 0.4624636471271515]",blurred,Baixa confiança,3.58465576171875,good quality,5.877541112839873,good quality,43.75274673470725,good quality,14738143.80133298,low quality,10.046504020690918,low quality,154.77288691473652,good quality,good quality
6692a3b2-9993-45a0-96ef-297966e7fb6c.png,"[0.9972028732299805, 0.0027971004601567984]",blurred,Boa confiança,33.27215576171875,good quality,4.487555306338419,good quality,54.09049091079052,good quality,1573147.7111691018,low quality,7.896974563598633,low quality,146.4865322608761,good quality,good quality
0e851430-87cf-4669-9ed4-54bdb2d4cffb.png,"[0.9935483336448669, 0.006451621651649475]",blurred,Boa confiança,30.01531982421875,good quality,4.54224145292312,good quality,59.77548517611071,good quality,1227104.3048081018,low quality,12.028559684753418,low quality,146.12112440571846,good quality,good quality
4fa62cd7-4795-4a7c-ac99-46ac956a11e2.png,"[0.13860979676246643, 0.8613901734352112]",sharp,Baixa confiança,13.56317138671875,good quality,5.605947307462718,good quality,63.9646474058452,good quality,2229789.9688512324,low quality,8.140875230300454,low quality,183.99438621022665,good quality,good quality
f935410f-032c-4c26-89b3-fcf8cdc4dd28.png,"[0.0026578560937196016, 0.9973421692848206]",sharp,Boa confiança,22.49969482421875,good quality,7.5074647416729725,low quality,75.49229485636883,good quality,4129900.0838846616,low quality,8.985017594036071,low quality,185.82992768546717,good quality,good quality
89d7f2d6-0f16-4e7e-bf6e-6d0b4d502bda.png,"[0.004689459223300219, 0.9953106045722961]",sharp,Boa confiança,6.29412841796875,good quality,5.787356460032897,good quality,65.34025290454709,good quality,5141780.404639051,low quality,8.086448868706434,low quality,186.49173930845456,good quality,good quality
bac28562-aa2a-44aa-b936-e028e6842abd.png,"[0.12578348815441132, 0.8742164969444275]",sharp,Baixa confiança,21.42742919921875,good quality,9.271395079412184,low quality,94.14403741171972,low quality,1825933.4090267955,low quality,10.489005121724617,low quality,181.6179462861422,good quality,low quality
